n_labels,angle_degrees,intercept_offset
4,-18.0,-0.8200000000000001
4,-18.0,-0.8
4,-18.0,-0.78
4,-18.0,-0.76
4,-18.0,-0.74
4,-18.0,-0.72
4,-18.0,-0.7
4,-18.0,-0.6799999999999999
4,-18.0,-0.6599999999999999
4,-18.0,-0.64
4,-18.0,-0.62
4,-18.0,-0.6
4,-18.0,-0.5800000000000001
4,-18.0,-0.56
4,-18.0,-0.54
4,-18.0,-0.52
4,-18.0,-0.5
4,-18.0,-0.48
4,-18.0,-0.45999999999999996
4,-18.0,-0.43999999999999995
4,-17.5,-1.0
4,-17.5,-0.98
4,-17.5,-0.96
4,-17.5,-0.94
4,-17.5,-0.92
4,-17.5,-0.9
4,-17.5,-0.88
4,-17.5,-0.86
4,-17.5,-0.84
4,-17.5,-0.8200000000000001
4,-17.5,-0.8
4,-17.5,-0.78
4,-17.5,-0.76
4,-17.5,-0.74
4,-17.5,-0.72
4,-17.5,-0.7
4,-17.5,-0.6799999999999999
4,-17.5,-0.6599999999999999
4,-17.5,-0.64
4,-17.5,-0.62
4,-17.5,-0.6
4,-17.5,-0.5800000000000001
4,-17.5,-0.56
4,-17.5,-0.54
4,-17.5,-0.52
4,-17.5,-0.5
4,-17.5,-0.48
4,-17.5,-0.45999999999999996
4,-17.5,-0.43999999999999995
4,-17.5,-0.42000000000000004
4,-17.0,-1.0
4,-17.0,-0.98
4,-17.0,-0.96
4,-17.0,-0.94
4,-17.0,-0.92
4,-17.0,-0.9
4,-17.0,-0.88
4,-17.0,-0.86
4,-17.0,-0.84
4,-17.0,-0.8200000000000001
4,-17.0,-0.8
4,-17.0,-0.78
4,-17.0,-0.76
4,-17.0,-0.74
4,-17.0,-0.72
4,-17.0,-0.7
4,-17.0,-0.6799999999999999
4,-17.0,-0.6599999999999999
4,-17.0,-0.64
4,-17.0,-0.62
4,-17.0,-0.6
4,-17.0,-0.5800000000000001
4,-17.0,-0.56
4,-17.0,-0.54
4,-17.0,-0.52
4,-17.0,-0.5
4,-17.0,-0.48
4,-17.0,-0.45999999999999996
4,-17.0,-0.43999999999999995
4,-17.0,-0.42000000000000004
4,-17.0,-0.4
4,-17.0,-0.38
4,-16.5,-1.0
4,-16.5,-0.98
4,-16.5,-0.96
4,-16.5,-0.94
4,-16.5,-0.92
4,-16.5,-0.9
4,-16.5,-0.88
4,-16.5,-0.86
4,-16.5,-0.84
4,-16.5,-0.8200000000000001
4,-16.5,-0.8
4,-16.5,-0.78
4,-16.5,-0.76
4,-16.5,-0.74
4,-16.5,-0.72
4,-16.5,-0.7
4,-16.5,-0.6799999999999999
4,-16.5,-0.6599999999999999
4,-16.5,-0.64
4,-16.5,-0.62
4,-16.5,-0.6
4,-16.5,-0.5800000000000001
4,-16.5,-0.56
4,-16.5,-0.54
4,-16.5,-0.52
4,-16.5,-0.5
4,-16.5,-0.48
4,-16.5,-0.45999999999999996
4,-16.5,-0.43999999999999995
4,-16.5,-0.42000000000000004
4,-16.5,-0.4
4,-16.5,-0.38
4,-16.5,-0.36
4,-16.0,-1.0
4,-16.0,-0.98
4,-16.0,-0.96
4,-16.0,-0.94
4,-16.0,-0.92
4,-16.0,-0.9
4,-16.0,-0.88
4,-16.0,-0.86
4,-16.0,-0.84
4,-16.0,-0.8200000000000001
4,-16.0,-0.8
4,-16.0,-0.78
4,-16.0,-0.76
4,-16.0,-0.74
4,-16.0,-0.72
4,-16.0,-0.7
4,-16.0,-0.6799999999999999
4,-16.0,-0.6599999999999999
4,-16.0,-0.64
4,-16.0,-0.62
4,-16.0,-0.6
4,-16.0,-0.5800000000000001
4,-16.0,-0.56
4,-16.0,-0.54
4,-16.0,-0.52
4,-16.0,-0.5
4,-16.0,-0.48
4,-16.0,-0.45999999999999996
4,-16.0,-0.43999999999999995
4,-16.0,-0.42000000000000004
4,-16.0,-0.4
4,-16.0,-0.38
4,-16.0,-0.36
4,-16.0,-0.33999999999999997
4,-16.0,-0.31999999999999995
4,-15.5,-1.0
4,-15.5,-0.98
4,-15.5,-0.96
4,-15.5,-0.94
4,-15.5,-0.92
4,-15.5,-0.9
4,-15.5,-0.88
4,-15.5,-0.86
4,-15.5,-0.84
4,-15.5,-0.8200000000000001
4,-15.5,-0.8
4,-15.5,-0.78
4,-15.5,-0.76
4,-15.5,-0.74
4,-15.5,-0.72
4,-15.5,-0.7
4,-15.5,-0.6799999999999999
4,-15.5,-0.6599999999999999
4,-15.5,-0.64
4,-15.5,-0.62
4,-15.5,-0.6
4,-15.5,-0.5800000000000001
4,-15.5,-0.56
4,-15.5,-0.54
4,-15.5,-0.52
4,-15.5,-0.5
4,-15.5,-0.48
4,-15.5,-0.45999999999999996
4,-15.5,-0.43999999999999995
4,-15.5,-0.42000000000000004
4,-15.5,-0.4
4,-15.5,-0.38
4,-15.5,-0.36
4,-15.5,-0.33999999999999997
4,-15.5,-0.31999999999999995
4,-15.5,-0.29999999999999993
4,-15.0,-1.0
4,-15.0,-0.98
4,-15.0,-0.96
4,-15.0,-0.94
4,-15.0,-0.92
4,-15.0,-0.9
4,-15.0,-0.88
4,-15.0,-0.86
4,-15.0,-0.84
4,-15.0,-0.8200000000000001
4,-15.0,-0.8
4,-15.0,-0.78
4,-15.0,-0.76
4,-15.0,-0.74
4,-15.0,-0.72
4,-15.0,-0.7
4,-15.0,-0.6799999999999999
4,-15.0,-0.6599999999999999
4,-15.0,-0.64
4,-15.0,-0.62
4,-15.0,-0.6
4,-15.0,-0.5800000000000001
4,-15.0,-0.56
4,-15.0,-0.54
4,-15.0,-0.52
4,-15.0,-0.5
4,-15.0,-0.48
4,-15.0,-0.45999999999999996
4,-15.0,-0.43999999999999995
4,-15.0,-0.42000000000000004
4,-15.0,-0.4
4,-15.0,-0.38
4,-15.0,-0.36
4,-15.0,-0.33999999999999997
4,-15.0,-0.31999999999999995
4,-15.0,-0.29999999999999993
4,-15.0,-0.28
4,-15.0,-0.26
4,-14.5,-1.0
4,-14.5,-0.98
4,-14.5,-0.96
4,-14.5,-0.94
4,-14.5,-0.92
4,-14.5,-0.9
4,-14.5,-0.88
4,-14.5,-0.86
4,-14.5,-0.84
4,-14.5,-0.8200000000000001
4,-14.5,-0.8
4,-14.5,-0.78
4,-14.5,-0.76
4,-14.5,-0.74
4,-14.5,-0.72
4,-14.5,-0.7
4,-14.5,-0.6799999999999999
4,-14.5,-0.6599999999999999
4,-14.5,-0.64
4,-14.5,-0.62
4,-14.5,-0.6
4,-14.5,-0.5800000000000001
4,-14.5,-0.56
4,-14.5,-0.54
4,-14.5,-0.52
4,-14.5,-0.5
4,-14.5,-0.48
4,-14.5,-0.45999999999999996
4,-14.5,-0.43999999999999995
4,-14.5,-0.42000000000000004
4,-14.5,-0.4
4,-14.5,-0.38
4,-14.5,-0.36
4,-14.5,-0.33999999999999997
4,-14.5,-0.31999999999999995
4,-14.5,-0.29999999999999993
4,-14.5,-0.28
4,-14.5,-0.26
4,-14.5,-0.24
4,-14.0,-1.0
4,-14.0,-0.98
4,-14.0,-0.96
4,-14.0,-0.94
4,-14.0,-0.92
4,-14.0,-0.9
4,-14.0,-0.88
4,-14.0,-0.86
4,-14.0,-0.84
4,-14.0,-0.8200000000000001
4,-14.0,-0.8
4,-14.0,-0.78
4,-14.0,-0.76
4,-14.0,-0.74
4,-14.0,-0.72
4,-14.0,-0.7
4,-14.0,-0.6799999999999999
4,-14.0,-0.6599999999999999
4,-14.0,-0.64
4,-14.0,-0.62
4,-14.0,-0.6
4,-14.0,-0.5800000000000001
4,-14.0,-0.56
4,-14.0,-0.54
4,-14.0,-0.52
4,-14.0,-0.5
4,-14.0,-0.48
4,-14.0,-0.45999999999999996
