shape,payoff_values,games,I_M_equilibrium_pairs,shared_actor_action_pairs,shared_affected_action_pairs,shared_affected_action_dominance_failures,disjoint_action_pairs,strict_disjoint_welfare_dominated_pairs
2x3,[-2;-1;1],531441,65610,0,21870,0,43740,1728
3x2,[-2;-1;1],531441,157464,0,78732,0,78732,3456
