context,eta,p0,q0,p50,q50,E50_W,Pr50_I,Pr50_H,Pr50_M,Pr50_D
sport,0.15,0.2,0.8,0.997792546152,1,5.9955850923,1,0,0,4.32986979604e-15
sport,0.15,0.5,0.5,0.999447221363,1,5.99889444273,1,0,0,4.50750547998e-14
sport,0.15,0.8,0.2,0.999861748024,1,5.99972349605,1,0,0,2.94986257643e-13
sport,0.15,0.8,0.8,0.999861748024,1,5.99972349605,1,0,0,1.84297022088e-14
sport,0.45,0.2,0.2,0.999999999323,1,5.99999999865,1,0,0,0
sport,0.45,0.2,0.8,0.999999999323,1,5.99999999865,1,0,0,0
sport,0.45,0.5,0.5,0.999999999831,1,5.99999999966,1,0,0,0
sport,0.45,0.8,0.2,0.999999999958,1,5.99999999992,1,0,0,0
sport,0.45,0.8,0.8,0.999999999958,1,5.99999999992,1,0,0,0
sport,1,0.2,0.2,1,1,6,1,0,0,0
sport,1,0.2,0.8,1,1,6,1,0,0,0
sport,1,0.5,0.5,1,1,6,1,0,0,0
sport,1,0.8,0.2,1,1,6,1,0,0,0
sport,1,0.8,0.8,1,1,6,1,0,0,0
sport,1.5,0.2,0.2,1,1,6,1,0,0,0
sport,1.5,0.2,0.8,1,1,6,1,0,0,0
sport,1.5,0.5,0.5,1,1,6,1,0,0,0
sport,1.5,0.8,0.2,1,1,6,1,0,0,0
sport,1.5,0.8,0.8,1,1,6,1,0,0,0
