scenario,off_diagonal_residual,reference_residual,before_1,before_2,after_1,after_2,same_signature
Funding,0.0,0.0,0.5,0.04999999999999982,1.0,0.04999999999999982,True
Redistribution,0.0,0.0,1.0,0.04999999999999982,1.0,0.024999999999999467,True
Altered redistribution,0.10000000000000006,0.0,1.0,0.04999999999999982,0.9999999999999996,-0.07499999999999973,False
Coherent intervention cycle,0.0,0.0,0.5,0.04999999999999982,1.0,0.025000000000000355,True
Altered intervention cycle,0.20000000000000007,2.220446049250313e-16,0.5,0.04999999999999982,1.0000000000000002,-0.07499999999999996,False
