n_labels,grid_total,feasible_grid_candidates,angle_min,angle_max,intercept_offset_min,intercept_offset_max,certified_open_ball_radius,distinct_normalised_witness_angle_degrees,witness_minimum_strict_slack
4,36461,22285,-26.0,116.0,-1.0,1.0,0.2834733547569203,53.12091341599314,1.9859788465714716
8,36461,801,34.0,56.0,-0.33999999999999997,0.3400000000000001,0.04724555912615337,46.353485569332186,0.3113044897140709
12,36461,41,42.5,47.5,-0.05999999999999994,0.06000000000000005,0.009449111825230632,45.27069711386644,0.06434667445289377
16,36461,1,45.0,45.0,0.0,0.0,0.0009449111825230425,45.027069711386645,0.006406096871827138
