angle_degrees,abs_determinant,sigma_min,condition_number,intercept_error_norm,reference_error,reference_error_bound,outcome_margin,relative_formula_error
90.0,1.0,1.0,1.0000000000000002,1e-06,9.999999999177334e-07,1e-06,2.0,0.0
30.0,0.49999999999999994,0.36602540378443865,3.7320508075688776,1e-06,2.732050807593473e-06,2.7320508075688784e-06,2.0,1.51659285550436e-16
10.0,0.17364817766693033,0.1232568334324387,11.430052302761343,1e-06,8.113140441854567e-06,8.113140441403066e-06,2.0,1.1259244150078988e-16
1.0,0.01745240643728351,0.012341184854330675,114.58865012930963,1e-06,8.102949690478842e-05,8.102949690840159e-05,2.0,1.4056377053359434e-16
0.1,0.0017453283658983088,0.001234133992847291,1145.9152993734228,1e-06,0.0008102847873864532,0.0008102847873859171,2.0,0.0
0.01,0.0001745329243133368,0.00012341341479220235,11459.155873527645,1e-06,0.008102846855762937,0.008102846855698407,2.0,2.1962810410663872e-16
0.001,1.7453292519057202e-05,1.2341341494727711e-05,114591.55902325574,1e-06,0.08102846845828474,0.081028468455168,2.0,0.0
0.0001,1.7453292519934436e-06,1.2341341494882786e-06,1145915.5902613555,1e-06,0.8102846844858486,0.8102846845414984,2.0,0.0
1e-05,1.745329251994321e-07,1.2341341494884338e-07,11459155.902616434,1e-06,8.10284684488247,8.102846845413966,2.0,2.144805701444125e-16
